p,propLabel,eff
http://www.wikidata.org/prop/direct/P4955,MR Author ID,3
http://www.wikidata.org/prop/direct/P7208,Liber Liber author ID,3
http://www.wikidata.org/prop/direct/P7400,LibraryThing author ID,3
http://www.wikidata.org/prop/direct/P7444,Rijksmuseum Research Library authority ID,3
http://www.wikidata.org/prop/direct/P8094,GeneaStar person ID,3
http://www.wikidata.org/prop/direct/P8234,LiederNet author ID,3
http://www.wikidata.org/prop/direct/P9097,American Academy in Rome ID,3
http://www.wikidata.org/prop/direct/P9164,Svenska Institutet i Rom ID,3
http://www.wikidata.org/prop/direct/P9178,Biblioteca Franco Serantini ID,3
http://www.wikidata.org/prop/direct/P10013,SNSF person ID,3
http://www.wikidata.org/prop/direct/P10302,Film.ru person ID,3
http://www.wikidata.org/prop/direct/P10347,World Economic Forum ID,3
http://www.wikidata.org/prop/direct/P10387,Databazeknih.cz author ID,3
http://www.wikidata.org/prop/direct/P10706,DACS ID (2022),3
http://www.wikidata.org/prop/direct/P11152,Léonore Web ID,3
http://www.wikidata.org/prop/direct/P11710,LIBRA Unine ID,3
http://www.wikidata.org/prop/direct/P13586,Wetzipedia ID,3
http://www.wikidata.org/prop/direct/P241,military branch,2
http://www.wikidata.org/prop/direct/P1019,web feed URL,2
http://www.wikidata.org/prop/direct/P1050,has medical condition,2
http://www.wikidata.org/prop/direct/P1066,student of,2
http://www.wikidata.org/prop/direct/P1153,Scopus author ID,2
http://www.wikidata.org/prop/direct/P1263,Notable Names Database ID,2
http://www.wikidata.org/prop/direct/P1260,Swedish Open Cultural Heritage URI,2
http://www.wikidata.org/prop/direct/P1303,instrument,2
http://www.wikidata.org/prop/direct/P1399,convicted of,2
http://www.wikidata.org/prop/direct/P1411,nominated for,2
http://www.wikidata.org/prop/direct/P1448,official name,2
http://www.wikidata.org/prop/direct/P1449,nickname,2
http://www.wikidata.org/prop/direct/P1711,British Museum person or institution ID,2
http://www.wikidata.org/prop/direct/P1890,CCAB ID,2
http://www.wikidata.org/prop/direct/P1953,Discogs artist ID,2
http://www.wikidata.org/prop/direct/P1986,Treccani's Biographical Dictionary of Italian People ID,2
http://www.wikidata.org/prop/direct/P2032,work period (end),2
http://www.wikidata.org/prop/direct/P2342,AGORHA person/institution ID,2
http://www.wikidata.org/prop/direct/P2349,Stuttgart Database of Scientific Illustrators ID,2
http://www.wikidata.org/prop/direct/P2418,Structurae person ID,2
http://www.wikidata.org/prop/direct/P2607,BookBrainz author ID,2
http://www.wikidata.org/prop/direct/P2604,Kinopoisk person ID,2
http://www.wikidata.org/prop/direct/P2924,Great Russian Encyclopedia Online ID (old version),2
http://www.wikidata.org/prop/direct/P3171,Olympic.org athlete ID (archived),2
http://www.wikidata.org/prop/direct/P3847,Open Library subject ID,2
http://www.wikidata.org/prop/direct/P4033,Mastodon address,2
http://www.wikidata.org/prop/direct/P4114,ADK member ID,2
http://www.wikidata.org/prop/direct/P4491,Isidore scholar ID,2
http://www.wikidata.org/prop/direct/P4534,EUTA person ID,2
http://www.wikidata.org/prop/direct/P4862,Amazon author ID,2
http://www.wikidata.org/prop/direct/P5489,artist-info artist ID,2
http://www.wikidata.org/prop/direct/P5570,NooSFere author ID,2
http://www.wikidata.org/prop/direct/P5617,Evene ID,2
http://www.wikidata.org/prop/direct/P5645,Académie française award winner ID,2
http://www.wikidata.org/prop/direct/P5815,Olympics.com athlete ID,2
http://www.wikidata.org/prop/direct/P6264,Harvard Index of Botanists ID,2
http://www.wikidata.org/prop/direct/P6385,Krugosvet article,2
http://www.wikidata.org/prop/direct/P6394,ELNET ID,2
http://www.wikidata.org/prop/direct/P6578,MutualArt artist ID,2
http://www.wikidata.org/prop/direct/P6677,OpenEdition Books author ID,2
http://www.wikidata.org/prop/direct/P6722,FemBio ID,2
http://www.wikidata.org/prop/direct/P6872,has written for,2
http://www.wikidata.org/prop/direct/P6944,Bionomia ID,2
http://www.wikidata.org/prop/direct/P7026,Lebanese National Library ID,2
http://www.wikidata.org/prop/direct/P7578,DUC ID,2
http://www.wikidata.org/prop/direct/P7704,Europeana entity,2
http://www.wikidata.org/prop/direct/P7848,Frick Art Research Library Artist File ID,2
http://www.wikidata.org/prop/direct/P7918,Médias 19 ID,2
http://www.wikidata.org/prop/direct/P8044,Frankfurter Personenlexikon ID,2
http://www.wikidata.org/prop/direct/P8153,Accademia delle Scienze di Torino ID,2
http://www.wikidata.org/prop/direct/P8258,field of training,2
http://www.wikidata.org/prop/direct/P8406,Grove Art Online ID,2
http://www.wikidata.org/prop/direct/P8826,edition humboldt digital ID,2
http://www.wikidata.org/prop/direct/P8852,facial hair,2
http://www.wikidata.org/prop/direct/P8879,Kinorium person ID,2
http://www.wikidata.org/prop/direct/P8902,Archives at Yale agent ID,2
http://www.wikidata.org/prop/direct/P8995,Lumières.Lausanne ID,2
http://www.wikidata.org/prop/direct/P8992,1914-1918-Online ID,2
http://www.wikidata.org/prop/direct/P9212,Dizionario biografico online degli anarchici italiani ID,2
http://www.wikidata.org/prop/direct/P9247,Pontifical University of Salamanca ID,2
http://www.wikidata.org/prop/direct/P9251,Cyprus University of Technology ID,2
http://www.wikidata.org/prop/direct/P9495,National Historical Museums of Sweden ID,2
http://www.wikidata.org/prop/direct/P9534,Biblioteche della Custodia di Terra Santa a Gerusalemme ID,2
http://www.wikidata.org/prop/direct/P9885,Bing entity ID,2
http://www.wikidata.org/prop/direct/P10480,symogih.org ID,2
http://www.wikidata.org/prop/direct/P11239,DFK Paris person ID,2
http://www.wikidata.org/prop/direct/P12086,WikiKids ID,2
http://www.wikidata.org/prop/direct/P12176,Propylaeum-VITAE ID,2
http://www.wikidata.org/prop/direct/P12386,Dansk Forfatterleksikon ID,2
http://www.wikidata.org/prop/direct/P12582,Oxford Reference overview ID,2
http://www.wikidata.org/prop/direct/P12614,az.lib.ru author ID,2
http://www.wikidata.org/prop/direct/P13576,Geographicus cartographer ID,2
http://www.wikidata.org/prop/direct/P10,video,1
http://www.wikidata.org/prop/direct/P94,coat of arms image,1
http://www.wikidata.org/prop/direct/P136,genre,1
http://www.wikidata.org/prop/direct/P361,part of,1
http://www.wikidata.org/prop/direct/P413,position played on team / speciality,1
http://www.wikidata.org/prop/direct/P428,botanist author abbreviation,1
http://www.wikidata.org/prop/direct/P495,country of origin,1
